company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/ORGANIZATION/1006-TV,/funding-round/c4dd206906e8f6834dde0eb9681002ac,venture,A,01/01/2013,
/organization/100du-tv,/funding-round/46a9d3228f69c036e8076f1362ac58cd,venture,C,13/08/2010,
/ORGANIZATION/100DU-TV,/funding-round/8797d60368bb0227f0d0ab4c72aef886,venture,A,07/01/2008,3000000
/organization/100e-com,/funding-round/22a86670d1055d7bafce665b27e91871,venture,,01/01/2006,3000000
/ORGANIZATION/100E-COM,/funding-round/a136f7eb873dfb13cec839fef7d7f51e,venture,,01/09/2006,1500000
/organization/100health,/funding-round/441cefff29e87a7b0bcd644b7dbe59c1,seed,,26/11/2014,470000
/ORGANIZATION/100HEALTH,/funding-round/502f558bee350299fd1ae503e5b9a124,venture,A,20/10/2015,3530000
/organization/100plus,/funding-round/57ce16d039aa0c61d966397f6db00b02,seed,,30/11/2011,750000
/ORGANIZATION/100PLUS,/funding-round/b5facb0d9dea2f0352b5834892c88c53,venture,,02/11/2011,500000
/organization/1010data,/funding-round/482fbf992b48f5c47d0080ab7ec0cb54,venture,,08/03/2010,35000000
/ORGANIZATION/10ALIKE,/funding-round/36812b11cf7351e5184c59fecd828dea,seed,,01/01/2013,
/organization/10alike,/funding-round/88d987f9cb2c320b809caafe43b8491b,seed,,01/01/2014,
/ORGANIZATION/10BESTTHINGS,/funding-round/35a58e17c5f6e25658a526fe9f6f8364,seed,,01/04/2009,50000
/organization/10k-2,/funding-round/95401c8e8336892bf375ad94efd6c725,seed,,04/09/2015,100000
/ORGANIZATION/10SEC,/funding-round/2270c5f7c44fb5b460573166d64ccb55,seed,,31/10/2013,
/organization/10sec,/funding-round/3f842b5ec5236ed37e375b73e945ab7f,seed,,08/05/2014,1600000
/ORGANIZATION/10SECONDS-SOFTWARE,/funding-round/dacf342722793cb7485fbdbd7530461d,angel,,01/07/2010,100000
/organization/10six,/funding-round/e7e13a354af346863c51e678c63590c1,seed,,01/02/2014,
/ORGANIZATION/10TRACKS-2,/funding-round/74606b480fe509973a3d72c9017876ca,venture,,03/02/2014,
/organization/10tracks-2,/funding-round/e31e2474786f930fd72e292ec34e9126,seed,,31/07/2013,
/ORGANIZATION/10X-GENOMICS,/funding-round/563923487783bdeb5d0b7872f3d6b99a,venture,B,12/01/2015,55000000
/organization/10x-technologies,/funding-round/39c1441d5098875a925577d0f2ad3904,venture,B,12/01/2015,550000
/ORGANIZATION/10X-TECHNOLOGIES,/funding-round/9a373f156949c1ba80fecfad8c29dc9e,debt_financing,,07/11/2012,3000000
/organization/10x10-room,/funding-round/f9b24081fc172ead29a9d564c60b6cdc,debt_financing,,12/10/2011,77500
/ORGANIZATION/10Â°NORTH,/funding-round/b41ff7de932f8b6e5bbeed3966c0ed6a,equity_crowdfunding,,12/08/2014,
/organization/11-health,/funding-round/064e6e706d1b2928a064c1dde49f05d7,seed,,20/08/2015,1958909
/ORGANIZATION/115-NETWORK-DISKS,/funding-round/0966b3b472f4b912e167abaf8d06f77d,angel,,01/11/2011,
/organization/117go,/funding-round/bbbda407fa8638d944ecfdd042230c4b,venture,B,28/04/2014,20000000
/ORGANIZATION/11I-SOLUTIONS,/funding-round/e07501ed6997290b1bef59406bc300a1,venture,,22/03/2011,1800000
/organization/12-labs,/funding-round/958803df0c565d11afba52347f7efcde,seed,,26/11/2014,935000
/ORGANIZATION/12-STAR-SURVIVAL,/funding-round/9c08e07cfd6bdacade795671e09b86e6,equity_crowdfunding,,17/10/2013,
/organization/120-sports,/funding-round/55642880265ba4cc73eda4abcac4f8da,undisclosed,,20/02/2014,
/ORGANIZATION/121-RENTALS,/funding-round/18b148f4b89339b28b09ef132acb1ade,debt_financing,,03/09/2014,
/organization/121cast,/funding-round/4ff51088be233a23c013689d680f04e5,seed,,13/11/2012,250000
/ORGANIZATION/121CAST,/funding-round/5706e500d4d79b9817de5516456402f2,seed,,30/06/2013,170000
/organization/121cast,/funding-round/d23f44687b25b1b1aa30a38cb79a4edb,grant,,01/05/2012,20000
/ORGANIZATION/121NEXUS,/funding-round/04d96071133d32201d4e731c579240ac,grant,,21/11/2013,45000
/organization/121nexus,/funding-round/2b62b0e9da308b196841e958b0ca5318,grant,,01/01/2014,30000
/ORGANIZATION/121NEXUS,/funding-round/7cdbef123afa3f9a41d080147158edc0,grant,,01/07/2013,150000
/organization/121nexus,/funding-round/964bf36d0f84b63c073afb4ef68380d6,seed,,06/02/2012,14000
/ORGANIZATION/121NEXUS,/funding-round/9df05fa02b09752fcd0ecbf4e167cbef,angel,,22/01/2013,500000
/organization/121nexus,/funding-round/fac223682361b8f57d004009f31191fc,seed,,20/04/2012,55000
/ORGANIZATION/1234ENTER,/funding-round/6343322ed785252d4c5ada444fa7d8e4,venture,,22/11/2013,150267
/organization/1234enter,/funding-round/ee6f9dea78c9a0697a500098a854564d,seed,,01/09/2012,500000
/ORGANIZATION/123CONTACTFORM,/funding-round/af7382f8e3d806986796029388cb1b7f,venture,,16/06/2015,1000000
/organization/123contactform,/funding-round/b678dec4e0df10e2518a81215f8fd843,angel,,01/01/2010,
/ORGANIZATION/123FENG-COM,/funding-round/9d83084d87dc63a309c9a6fe9bf59d1b,venture,A,27/10/2015,13000000
/organization/123greetings,/funding-round/5dd1821a92088ff96b467eb16431731a,venture,,23/07/2015,5400000
/ORGANIZATION/123PEOPLE,/funding-round/246571dc273630b5f233010d50351e2f,seed,,01/01/2008,
/organization/1248,/funding-round/ce0e1829f5fe37bb20fc1542340f1766,seed,,18/03/2014,378812
